,Unnamed: 0,Chord,Composer,File,NormalForm,Offset,PCsInNormalForm,beatNumber,measureNumber,pieceNumber,pieceName,movementName,genre,publicationYear,Epoch,Source,fileFormat,phraseAnalysis,fileConversion,getChords,Common Names,Contains 7th,isExtended,extendedInd
159,159,<music21.chord.Chord D#3 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 1]",95,"[3, 4]",3.5,16,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Sixteenth,FALSE,Extended Chord,1
168,168,<music21.chord.Chord D#3 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 1]",100,"[3, 4]",3,17,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Sixteenth,FALSE,Extended Chord,1
170,170,<music21.chord.Chord B2 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, -7]",101,"[11, 4]",3.5,17,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Perfect Eighteenth,FALSE,Extended Chord,1
172,172,<music21.chord.Chord F#3 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 2]",102,"[4, 6]",1,18,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Fourteenth,FALSE,Extended Chord,1
175,175,<music21.chord.Chord F#3 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 2]",105,"[4, 6]",2.5,18,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Fourteenth,FALSE,Extended Chord,1
177,177,<music21.chord.Chord C#3 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 3]",106,"[1, 4]",3,18,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Seventeenth,FALSE,Not Extended Chord,0
231,231,<music21.chord.Chord F#3 B4>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 5]",152,"[6, 11]",2,26,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Perfect Eleventh,FALSE,Not Extended Chord,0
233,233,<music21.chord.Chord C#3 B4>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, -10]",153,"[11, 1]",2.5,26,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Fourteenth,FALSE,Extended Chord,1
235,235,<music21.chord.Chord G#2 B4>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 3]",154,"[8, 11]",3,26,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Seventeenth,FALSE,Not Extended Chord,0
237,237,<music21.chord.Chord G#3 B4>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 3]",155,"[8, 11]",3.5,26,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Tenth,FALSE,Not Extended Chord,0
239,239,<music21.chord.Chord F#3 B4>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 5]",156,"[6, 11]",1,27,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Perfect Eleventh,FALSE,Not Extended Chord,0
241,241,<music21.chord.Chord D#3 B4>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, -8]",157,"[11, 3]",1.5,27,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Thirteenth,FALSE,Extended Chord,1
307,307,<music21.chord.Chord D#3 G#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 5]",209,"[3, 8]",3.5,35,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Perfect Eighteenth,FALSE,Not Extended Chord,0
309,309,<music21.chord.Chord B2 G#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 3]",210,"[8, 11]",1,36,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Twentieth,FALSE,Not Extended Chord,0
315,315,<music21.chord.Chord B2 G#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 3]",214,"[8, 11]",3,36,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Twentieth,FALSE,Not Extended Chord,0
319,319,<music21.chord.Chord B2 G#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 3]",216,"[8, 11]",1,37,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Twentieth,FALSE,Not Extended Chord,0
321,321,<music21.chord.Chord A#2 G#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 2]",217,"[8, 10]",1.5,37,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Twenty-first,FALSE,Extended Chord,1
323,323,<music21.chord.Chord D#3 G#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 5]",218,"[3, 8]",2,37,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Perfect Eighteenth,FALSE,Not Extended Chord,0
325,325,<music21.chord.Chord A#3 G#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 2]",219,"[8, 10]",2.5,37,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Fourteenth,FALSE,Extended Chord,1
327,327,<music21.chord.Chord A#2 G#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 2]",220,"[8, 10]",3,37,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Twenty-first,FALSE,Extended Chord,1
329,329,<music21.chord.Chord D#3 G#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 5]",221,"[3, 8]",3.5,37,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Perfect Eighteenth,FALSE,Not Extended Chord,0
331,331,<music21.chord.Chord A#3 G#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 2]",222,"[8, 10]",1,38,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Fourteenth,FALSE,Extended Chord,1
333,333,<music21.chord.Chord A#2 G#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 2]",223,"[8, 10]",1.5,38,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Twenty-first,FALSE,Extended Chord,1
335,335,<music21.chord.Chord D#3 G#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 5]",224,"[3, 8]",2,38,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Perfect Eighteenth,FALSE,Not Extended Chord,0
339,339,<music21.chord.Chord E3 A#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 6]",226,"[4, 10]",3,38,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Augmented Eighteenth,FALSE,Not Extended Chord,0
343,343,<music21.chord.Chord D#3 A#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, -7]",228,"[10, 3]",1,39,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Perfect Nineteenth,FALSE,Extended Chord,1
345,345,<music21.chord.Chord B2 A#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 1]",229,"[10, 11]",1.5,39,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Twenty-first,FALSE,Extended Chord,1
347,347,<music21.chord.Chord G#2 A#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 2]",230,"[8, 10]",2,39,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major 23,FALSE,Extended Chord,1
351,351,<music21.chord.Chord B2 A#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 1]",233,"[10, 11]",3.5,39,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Twenty-first,FALSE,Extended Chord,1
353,353,<music21.chord.Chord G#2 A#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 2]",234,"[8, 10]",1,40,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major 23,FALSE,Extended Chord,1
355,355,<music21.chord.Chord B2 A#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 1]",235,"[10, 11]",1.5,40,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Major Twenty-first,FALSE,Extended Chord,1
359,359,<music21.chord.Chord D#3 A#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, -7]",237,"[10, 3]",2.5,40,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Perfect Nineteenth,FALSE,Extended Chord,1
365,365,<music21.chord.Chord D#3 A#5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, -7]",240,"[10, 3]",1,41,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Perfect Nineteenth,FALSE,Extended Chord,1
371,371,<music21.chord.Chord D#3 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 1]",243,"[3, 4]",2.5,41,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Sixteenth,FALSE,Extended Chord,1
373,373,<music21.chord.Chord A#3 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 6]",244,"[4, 10]",3,41,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Diminished Twelfth,FALSE,Not Extended Chord,0
377,377,<music21.chord.Chord A#2 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 6]",246,"[4, 10]",1,42,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Diminished Nineteenth,FALSE,Not Extended Chord,0
379,379,<music21.chord.Chord D#3 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 1]",247,"[3, 4]",1.5,42,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Sixteenth,FALSE,Extended Chord,1
381,381,<music21.chord.Chord B2 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, -7]",248,"[11, 4]",2,42,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Perfect Eighteenth,FALSE,Extended Chord,1
383,383,<music21.chord.Chord G#2 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 4]",249,"[4, 8]",2.5,42,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Twentieth,FALSE,Not Extended Chord,0
387,387,<music21.chord.Chord B2 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, -7]",252,"[11, 4]",1,43,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Perfect Eighteenth,FALSE,Extended Chord,1
389,389,<music21.chord.Chord G#2 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 4]",253,"[4, 8]",1.5,43,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Twentieth,FALSE,Not Extended Chord,0
391,391,<music21.chord.Chord B2 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, -7]",254,"[11, 4]",2,43,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Perfect Eighteenth,FALSE,Extended Chord,1
451,451,<music21.chord.Chord B2 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, -7]",295,"[11, 4]",1.5,50,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Perfect Eighteenth,FALSE,Extended Chord,1
453,453,<music21.chord.Chord G#2 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 4]",296,"[4, 8]",2,50,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Minor Twentieth,FALSE,Not Extended Chord,0
459,459,<music21.chord.Chord A#2 E5>,AlariodelRio,AlariodelRio_Sol_Sostenido.xml,"[0, 6]",300,"[4, 10]",1,51,piece36,Piano Piece No8,Op7 No2,OtherSolo,2013,1970-2020,IMSLP,PDF,N,Y,Y,Diminished Nineteenth,FALSE,Not Extended Chord,0
